point	title	description	icon
48.5858100,7.7433600	Halles / Pont de Paris (Gare)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5846200,7.7441700	Angle des rues du Noyer et Thomann (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5826500,7.7436100	Angle des rues du 22 Novembre et du Fossé des tanneurs (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5839000,7.7345400	Place de la Gare (Gare)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5832500,7.7394900	Angle du pont Kuss et du quai Desaix (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5834100,7.7384800	Angle de la rue du Maire Kuss et du quai St-Jean (Gare)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5832200,7.7452000	Place Kléber / Fnac (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5839900,7.7355200	Place de la Gare / Petite rue de la Course (Gare)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5853100,7.7420000	Halles / Station de Tram (Gare)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5853500,7.7436700	Angle du quai de Paris et du pont de Paris (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5828600,7.7417200	Angle des rues du 22 Novembre et des Aveugles (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5825700,7.7381800	Pont National (Gare)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5823900,7.7357800	Angle rues du Faubourg national et petite rue de la Course (Gare)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5838500,7.7445400	Place de l'Homme de fer / Rue du Fossé des Tanneurs (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5855100,7.7362500	Place de la Gare / Boulevard du Président Wilson (Gare)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5844300,7.7346800	Place de la Gare / Gare (Gare)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5848465,7.7521469	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
48.5827359,7.7526290	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
48.5855400,7.7519700	Place Broglie / Opéra (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5829400,7.7478200	Place du Temple Neuf (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5843700,7.7491100	Place Broglie / Rue du Dôme (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5832200,7.7467700	Place Kléber / Grandes Arcades (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5850900,7.7545100	Angle du quai Marnésia et de la rue des Récollets (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5865800,7.7536000	Place de la République / Tram (République)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5861300,7.7470200	Rue de la Nuée Bleue (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5857200,7.7472800	Rue de la Nuée Bleue (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5851000,7.7508800	Place Broglie / Rue de la Comédie (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5817900,7.7489100	Rue des Hallebardes (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5870200,7.7486400	Angle du quai Schoepflin et de la rue de la Fonderie (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5859500,7.7543900	Place de la République / Passerelle (République)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5869800,7.7548900	Place de la République / Avenue de la Liberté (République)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5827000,7.7508600	Angle des rues des Hallebardes et des Juifs (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5823100,7.7482300	Place du Marché Neuf (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5844400,7.7454600	Rue de la Mésange / Aubette (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5845900,7.7485800	Place Broglie / Rue de la Nuée bleue (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5831200,7.7546300	Place Saint-Etienne (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5839400,7.7495700	Rue du Dôme (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5821400,7.7505300	Place de la Cathédrale / Office du Tourisme (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5838700,7.7465100	Place Kléber / Aubette (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5818900,7.7455900	Rue Sainte-Hélène (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5909500,7.7648100	Boulevard Jacques Preiss / Pont (Wacken)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5896300,7.7750200	Angle du boulevard de l'Orangerie et de la rue de Verdun (Orangerie-Quinze)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5842300,7.7589100	Boulevard de la Victoire (Krutenau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5854300,7.7606400	Devant le Palais universitaire (Krutenau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5841400,7.7588400	Boulevard de la Victoire / Gallia (Krutenau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5862700,7.7631700	Angle de l'allée de la Robertsau et de l'avenue de la Forêt Noire (Orangerie-Quinze)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5853700,7.7604200	Quai du Maire Dietrich / Place de l'Université (Krutenau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5800100,7.7449900	Place St-Thomas (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5813700,7.7378600	Angle de la rue Ste Marguerite et du pont de l'Abattoir (Gare)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
