point	title	description	iconSize	iconOffset	icon
49.5056841,2.4354324	Saint-Just-En-Chaussee 	31 caméras</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	34,34	-17,-17	http://www.leretourdelautruche.com/map/cctv/cctv1.png
45.6446009,5.0104106	Saint-Pierre-De-Chandieu 	12 caméras</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	31,31	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
49.8390481,3.3004828	Saint-Quentin	Nombre de caméras inconnu</br>Source : Co-financement de la vidéo-protection sur 75 sites prioritaires 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
43.3149920,6.6334880	Sainte-Maxime 	15 caméras</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	32,32	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
43.1198170,5.8018897	Sanary-sur-Mer	40 caméras en 2009 + 20 en projet</br>Source : <a href="http://www.ldh-toulon.net/spip.php?article3493">http://www.ldh-toulon.net/spip.php?article3493</> <a href="http://www.varmatin.com/ra/la-seyne/205955/sanary-sur-mer-les-cameras-nouvelles-armes-de-la-police-nationale">http://www.varmatin.com/ra/la-seyne/205955/sanary-sur-mer-les-cameras-nouvelles-armes-de-la-police-nationale</> 	35,35	-18,-18	http://www.leretourdelautruche.com/map/cctv/cctv1.png
47.3297000,2.8391200	Sancerre		30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
49.1102397,7.0707709	Sarreguemines	13 caméras</br>Coût :113 000 euros d'installation pour les 11 dernières</br>Source : <a href="http://www.luceor.com/IMG/pdf/LETTRE_NUMERO_2.pdf">http://www.luceor.com/IMG/pdf/LETTRE_NUMERO_2.pdf</> 	31,31	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
48.9410000,2.1587700	Sartrouville	Une cinquantaine de caméras (11 ont été détruites par balles)</br>Source : Avec 50 caméras actuellement, Sartrouville est déjà la commune la plus vidéosurveillée des Yvelines <a href="http://www.videosurveillance-infos.com/file/54076/">http://www.videosurveillance-infos.com/file/54076/</> <a href="http://www.leparisien.fr/yvelines-78/sartrouville-renforce-encore-sa-securite-14-08-2009-606397.php">http://www.leparisien.fr/yvelines-78/sartrouville-renforce-encore-sa-securite-14-08-2009-606397.php</> 	31,31	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
48.8213965,7.7361734	Schweighouse-Sur-Oder 	14 caméras</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	32,32	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
48.2320872,7.4079431	Sélestat	Nombre de caméras inconnu</br>Source : Co-financement de la vidéo-protection sur 75 sites prioritaires 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
